gi,seq_names,species,genus,family,order,class,phylum,taxid,seqs,cluster,id
374325525,rRNA_gi|374325525|ref|NC_016645.1|_127216-130814_DIR+ /molecule=16s_rRNA /score=193.5,1104324,2276,2267,2266,183924,28889,1104324,rRNA_gi|374325525|ref|NC_016645.1|_127216-130814_DIR+,cluster_0.99_1,1
479152295,rRNA_gi|479152295|ref|NC_021014.1|_2702614-2706143_DIR+ /molecule=16s_rRNA /score=391.5,NA,NA,NA,NA,NA,NA,NA,rRNA_gi|479152295|ref|NC_021014.1|_2702614-2706143_DIR+,cluster_0.99_2,2
116514950,rRNA_gi|116514950|ref|NC_008513.1|_183495-186805_DIR+ /molecule=16s_rRNA /score=1559.4,9,32199,543,91347,1236,1224,372461,rRNA_gi|116514950|ref|NC_008513.1|_183495-186805_DIR+,cluster_0.99_3,3
400404025,rRNA_gi|400404025|ref|NC_018415.1|_112341-115630_DIR- /molecule=16s_rRNA /score=1171.4,114186,114185,28256,135619,1236,1224,1202537,rRNA_gi|400404025|ref|NC_018415.1|_112341-115630_DIR-,cluster_0.99_4,4
384207496,rRNA_gi|384207496|ref|NC_017243.1|_2961026-2964311_DIR- /molecule=16s_rRNA /score=1345.0,84377,29521,143786,1643686,203692,203691,1045858,rRNA_gi|384207496|ref|NC_017243.1|_2961026-2964311_DIR-,cluster_0.99_5,5
296125058,rRNA_gi|296125058|ref|NC_014150.1|_1912474-1913976_DIR+ /molecule=16s_rRNA /score=1603.4,84378,29521,143786,1643686,203692,203691,526224,rRNA_gi|296125058|ref|NC_014150.1|_1912474-1913976_DIR+,cluster_0.99_5,5
400403787,rRNA_gi|400403787|ref|NC_018414.1|_112382-115666_DIR- /molecule=16s_rRNA /score=1155.4,114186,114185,28256,135619,1236,1224,1202536,rRNA_gi|400403787|ref|NC_018414.1|_112382-115666_DIR-,cluster_0.99_6,6
300869639,rRNA_gi|300869639|ref|NC_014330.1|_1710299-1713579_DIR+ /molecule=16s_rRNA /score=1330.6,52584,29521,143786,1643686,203692,203691,759914,rRNA_gi|300869639|ref|NC_014330.1|_1710299-1713579_DIR+,cluster_0.99_7,7
404474675,rRNA_gi|404474675|ref|NC_018607.1|_2465051-2468306_DIR- /molecule=16s_rRNA /score=1337.2,52584,29521,143786,1643686,203692,203691,1133568,rRNA_gi|404474675|ref|NC_018607.1|_2465051-2468306_DIR-,cluster_0.99_7,7
434380778,rRNA_gi|434380778|ref|NC_018604.1|_417247-420527_DIR+ /molecule=16s_rRNA /score=1323.0,52584,29521,143786,1643686,203692,203691,1161918,rRNA_gi|434380778|ref|NC_018604.1|_417247-420527_DIR+,cluster_0.99_7,7
225618950,rRNA_gi|225618950|ref|NC_012225.1|_2384855-2388135_DIR+ /molecule=16s_rRNA /score=1320.8,159,29521,143786,1643686,203692,203691,565034,rRNA_gi|225618950|ref|NC_012225.1|_2384855-2388135_DIR+,cluster_0.99_8,8
400404263,rRNA_gi|400404263|ref|NC_018416.1|_116319-119594_DIR- /molecule=16s_rRNA /score=1198.9,114186,114185,28256,135619,1236,1224,1202538,rRNA_gi|400404263|ref|NC_018416.1|_116319-119594_DIR-,cluster_0.99_9,9
336112679,rRNA_gi|336112679|ref|NC_015634.1|_2125194-2128466_DIR- /molecule=16s_rRNA /score=1756.0,1398,1386,186817,1385,91061,1239,941639,rRNA_gi|336112679|ref|NC_015634.1|_2125194-2128466_DIR-,cluster_0.99_10,10
400404501,rRNA_gi|400404501|ref|NC_018417.1|_107630-110897_DIR- /molecule=16s_rRNA /score=1207.7,114186,114185,28256,135619,1236,1224,1202539,rRNA_gi|400404501|ref|NC_018417.1|_107630-110897_DIR-,cluster_0.99_11,11
428771848,rRNA_gi|428771848|ref|NC_019778.1|_3139880-3143145_DIR+ /molecule=16s_rRNA /score=1484.3,102235,102234,NA,1118,NA,1117,292563,rRNA_gi|428771848|ref|NC_019778.1|_3139880-3143145_DIR+,cluster_0.99_12,12
431806727,rRNA_gi|431806727|ref|NC_019908.1|_1557143-1560404_DIR- /molecule=16s_rRNA /score=1331.5,52584,29521,143786,1643686,203692,203691,1042417,rRNA_gi|431806727|ref|NC_019908.1|_1557143-1560404_DIR-,cluster_0.99_13,13
387601291,rRNA_gi|387601291|ref|NC_017333.1|_2181271-2184522_DIR- /molecule=16s_rRNA /score=1745.3,1280,1279,90964,1385,91061,1239,523796,rRNA_gi|387601291|ref|NC_017333.1|_2181271-2184522_DIR-,cluster_0.99_14,14
336233113,rRNA_gi|336233113|ref|NC_015662.1|_194822-198070_DIR+ /molecule=16s_rRNA /score=1574.7,9,32199,543,91347,1236,1224,261317,rRNA_gi|336233113|ref|NC_015662.1|_194822-198070_DIR+,cluster_0.99_15,15
509154128,rRNA_gi|509154128|ref|NC_021355.1|_764964-768211_DIR+ /molecule=16s_rRNA /score=602.4,224719,2172,2159,2158,183925,28890,224719,rRNA_gi|509154128|ref|NC_021355.1|_764964-768211_DIR+,cluster_0.99_16,16
509154128,rRNA_gi|509154128|ref|NC_021355.1|_1662098-1663569_DIR- /molecule=16s_rRNA /score=638.0,224719,2172,2159,2158,183925,28890,224719,rRNA_gi|509154128|ref|NC_021355.1|_1662098-1663569_DIR-,cluster_0.99_16,16
527324386,rRNA_gi|527324386|ref|NC_021894.1|_123771-127016_DIR- /molecule=16s_rRNA /score=1222.5,114186,114185,28256,135619,1236,1224,667013,rRNA_gi|527324386|ref|NC_021894.1|_123771-127016_DIR-,cluster_0.99_17,17
84488831,rRNA_gi|84488831|ref|NC_007681.1|_1167656-1170900_DIR- /molecule=16s_rRNA /score=589.7,2317,2316,2159,2158,183925,28890,339860,rRNA_gi|84488831|ref|NC_007681.1|_1167656-1170900_DIR-,cluster_0.99_18,18
529067324,rRNA_gi|529067324|ref|NC_021919.1|_92670-95909_DIR- /molecule=16s_rRNA /score=1038.7,NA,NA,NA,NA,NA,NA,NA,rRNA_gi|529067324|ref|NC_021919.1|_92670-95909_DIR-,cluster_0.99_19,19
429216255,rRNA_gi|429216255|ref|NC_019791.1|_664896-668130_DIR- /molecule=16s_rRNA /score=550.2,200415,200414,255472,871006,183924,28889,1056495,rRNA_gi|429216255|ref|NC_019791.1|_664896-668130_DIR-,cluster_0.99_20,20
297618528,rRNA_gi|297618528|ref|NC_014222.1|_1572707-1575927_DIR+ /molecule=16s_rRNA /score=635.2,2188,2184,2183,2182,183939,28890,456320,rRNA_gi|297618528|ref|NC_014222.1|_1572707-1575927_DIR+,cluster_0.99_21,21
568131692,rRNA_gi|568131692|ref|NC_023062.1|_548672-551890_DIR- /molecule=16s_rRNA /score=830.5,171632,2093,2092,2085,31969,544448,1415773,rRNA_gi|568131692|ref|NC_023062.1|_548672-551890_DIR-,cluster_0.99_22,22
116334902,rRNA_gi|116334902|ref|NC_008512.1|_108440-111658_DIR- /molecule=16s_rRNA /score=1203.0,114186,114185,28256,135619,1236,1224,387662,rRNA_gi|116334902|ref|NC_008512.1|_108440-111658_DIR-,cluster_0.99_23,23
383842824,rRNA_gi|383842824|ref|NC_017062.1|_778627-781824_DIR- /molecule=16s_rRNA /score=1608.1,785,780,775,766,28211,1224,1003202,rRNA_gi|383842824|ref|NC_017062.1|_778627-781824_DIR-,cluster_0.99_24,24
383751989,rRNA_gi|383751989|ref|NC_017066.1|_778059-781256_DIR- /molecule=16s_rRNA /score=1608.1,785,780,775,766,28211,1224,1003201,rRNA_gi|383751989|ref|NC_017066.1|_778059-781256_DIR-,cluster_0.99_24,24
51473215,rRNA_gi|51473215|ref|NC_006142.1|_777963-781160_DIR- /molecule=16s_rRNA /score=1608.1,785,780,775,766,28211,1224,257363,rRNA_gi|51473215|ref|NC_006142.1|_777963-781160_DIR-,cluster_0.99_24,24
400404723,rRNA_gi|400404723|ref|NC_018418.1|_108831-112021_DIR- /molecule=16s_rRNA /score=1203.1,114186,114185,28256,135619,1236,1224,1202540,rRNA_gi|400404723|ref|NC_018418.1|_108831-112021_DIR-,cluster_0.99_25,25
150398760,rRNA_gi|150398760|ref|NC_009634.1|_1211871-1215060_DIR+ /molecule=16s_rRNA /score=622.8,2187,2184,2183,2182,183939,28890,406327,rRNA_gi|150398760|ref|NC_009634.1|_1211871-1215060_DIR+,cluster_0.99_26,26
150398760,rRNA_gi|150398760|ref|NC_009634.1|_155-1616_DIR+ /molecule=16s_rRNA /score=649.1,2187,2184,2183,2182,183939,28890,406327,rRNA_gi|150398760|ref|NC_009634.1|_155-1616_DIR+,cluster_0.99_26,26
150398760,rRNA_gi|150398760|ref|NC_009634.1|_1245385-1246846_DIR+ /molecule=16s_rRNA /score=649.1,2187,2184,2183,2182,183939,28890,406327,rRNA_gi|150398760|ref|NC_009634.1|_1245385-1246846_DIR+,cluster_0.99_26,26
336121001,rRNA_gi|336121001|ref|NC_015636.1|_716968-720138_DIR- /molecule=16s_rRNA /score=660.1,155863,155862,2183,2182,183939,28890,647113,rRNA_gi|336121001|ref|NC_015636.1|_716968-720138_DIR-,cluster_0.99_27,27
84488831,rRNA_gi|84488831|ref|NC_007681.1|_852505-855662_DIR+ /molecule=16s_rRNA /score=591.4,2317,2316,2159,2158,183925,28890,339860,rRNA_gi|84488831|ref|NC_007681.1|_852505-855662_DIR+,cluster_0.99_28,28
568175750,rRNA_gi|568175750|ref|NC_023073.1|_873756-876908_DIR+ /molecule=16s_rRNA /score=1768.9,1390,1386,186817,1385,91061,1239,1415165,rRNA_gi|568175750|ref|NC_023073.1|_873756-876908_DIR+,cluster_0.99_29,29
479150083,rRNA_gi|479150083|ref|NC_021013.1|_297741-300852_DIR+ /molecule=16s_rRNA /score=1622.1,NA,NA,NA,NA,NA,NA,NA,rRNA_gi|479150083|ref|NC_021013.1|_297741-300852_DIR+,cluster_0.99_30,30
386081834,rRNA_gi|386081834|ref|NC_017560.1|_770516-773581_DIR- /molecule=16s_rRNA /score=1646.4,782,780,775,766,28211,1224,449216,rRNA_gi|386081834|ref|NC_017560.1|_770516-773581_DIR-,cluster_0.99_31,31
15603881,rRNA_gi|15603881|ref|NC_000963.1|_770689-773753_DIR- /molecule=16s_rRNA /score=1645.7,782,780,775,766,28211,1224,272947,rRNA_gi|15603881|ref|NC_000963.1|_770689-773753_DIR-,cluster_0.99_31,31
383488278,rRNA_gi|383488278|ref|NC_017050.1|_770600-773665_DIR- /molecule=16s_rRNA /score=1645.7,782,780,775,766,28211,1224,1105095,rRNA_gi|383488278|ref|NC_017050.1|_770600-773665_DIR-,cluster_0.99_31,31
